country,question_response,number_of_reports,percentage,year_collected
Chile,Can't Choose,16,0.010230179028132993,2012
Chile,No Answer,2,0.0012787723785166241,2012
Chile,Stay at Home,509,0.32544757033248084,2012
Chile,Work Full-Time,100,0.0639386189258312,2012
Chile,Work Part-Time,937,0.5991048593350383,2012
Philippines,Can't Choose,43,0.035833333333333335,2012
Philippines,Stay at Home,627,0.5225,2012
Philippines,Work Full-Time,130,0.10833333333333334,2012
Philippines,Work Part-Time,400,0.3333333333333333,2012
Chile,Stay at Home,637,0.42751677852348996,2002
Chile,Work Full-Time,136,0.0912751677852349,2002
Chile,Work Part-Time,717,0.4812080536912752,2002
Philippines,Stay at Home,597,0.5128865979381443,2002
Philippines,Work Full-Time,205,0.17611683848797252,2002
Philippines,Work Part-Time,362,0.31099656357388317,2002
